City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
60,Baillif,GP,2021-08-08 23:59:36,16.0202,-61.7463,few clouds,80.1,79,14,13.94
61,Fort Dodge,US,2021-08-08 23:55:20,42.4975,-94.168,overcast clouds,80.82,73,90,9.22
62,Marsa Matruh,EG,2021-08-08 23:51:59,31.3525,27.2453,clear sky,79.0,69,0,12.66
63,Moyale,KE,2021-08-08 23:59:37,3.5167,39.0584,broken clouds,65.12,67,69,14.14
64,Grand Gaube,MU,2021-08-08 23:58:05,-20.0064,57.6608,light rain,68.4,90,87,3.0
65,Tianpeng,CN,2021-08-08 23:58:14,30.9866,103.9393,overcast clouds,73.87,84,90,1.41
66,Cape Town,ZA,2021-08-08 23:58:26,-33.9258,18.4232,light rain,55.11,92,75,3.0
67,Clyde River,CA,2021-08-08 23:59:37,70.4692,-68.5914,overcast clouds,44.83,87,90,13.8
68,Surin,TH,2021-08-08 23:59:37,14.8818,103.4936,overcast clouds,79.18,82,89,8.03
69,Ushuaia,AR,2021-08-08 23:56:58,-54.8,-68.3,scattered clouds,40.66,70,40,3.44
70,Saskylakh,RU,2021-08-08 23:59:38,71.9167,114.0833,overcast clouds,60.62,60,100,6.31
71,Georgetown,MY,2021-08-08 23:57:07,5.4112,100.3354,few clouds,80.89,88,20,4.61
72,Kavieng,PG,2021-08-08 23:59:38,-2.5744,150.7967,light rain,83.86,69,93,10.98
73,Atar,MR,2021-08-08 23:51:28,20.5169,-13.0499,clear sky,93.45,26,9,3.06
74,Bogorodskoye,RU,2021-08-08 23:59:39,56.55,37.8833,clear sky,64.78,94,4,4.05
75,Kieta,PG,2021-08-08 23:59:39,-6.2167,155.6333,scattered clouds,83.53,66,35,3.18
76,Turayf,SA,2021-08-08 23:59:18,31.6725,38.6637,clear sky,75.45,46,0,9.22
77,Druzhba,UA,2021-08-08 23:59:39,52.0428,33.9453,few clouds,62.31,84,14,7.81
78,Longyearbyen,SJ,2021-08-08 23:58:51,78.2186,15.6401,broken clouds,40.84,93,75,6.91
79,Rock Sound,BS,2021-08-08 23:59:40,24.9,-76.2,broken clouds,83.21,73,57,11.03
80,Shiraz,IR,2021-08-08 23:59:40,29.6036,52.5388,clear sky,76.44,31,0,4.61
81,Mar Del Plata,AR,2021-08-08 23:59:41,-38.0023,-57.5575,light rain,48.22,76,0,9.22
82,Glenwood Springs,US,2021-08-08 23:51:24,39.5505,-107.3248,clear sky,88.72,16,1,11.54
83,Atambua,ID,2021-08-08 23:59:41,-9.1061,124.8925,clear sky,76.33,64,8,3.06
84,Kachiry,KZ,2021-08-08 23:59:41,53.0675,76.1036,light rain,60.12,95,100,9.17
85,Kahului,US,2021-08-08 23:46:16,20.8947,-156.47,few clouds,86.02,58,20,25.32
86,Vestmannaeyjar,IS,2021-08-08 23:59:42,63.4427,-20.2734,overcast clouds,56.16,80,87,7.58
87,Assomada,CV,2021-08-08 23:59:42,15.1,-23.6833,scattered clouds,74.75,85,31,1.97
88,Pemberton,CA,2021-08-08 23:59:42,50.3164,-122.8027,broken clouds,73.09,58,77,5.68
89,Khatanga,RU,2021-08-08 23:58:24,71.9667,102.5,overcast clouds,53.06,74,100,11.72
90,Tabas,IR,2021-08-08 23:59:42,33.5959,56.9244,clear sky,85.86,16,0,4.5
91,Necochea,AR,2021-08-08 23:50:42,-38.5473,-58.7368,overcast clouds,46.04,72,100,6.04
92,Tuktoyaktuk,CA,2021-08-08 23:50:23,69.4541,-133.0374,broken clouds,50.0,71,75,6.91
93,Luderitz,NA,2021-08-08 23:50:31,-26.6481,15.1594,broken clouds,54.27,86,70,7.27
94,Ketchikan,US,2021-08-08 23:53:13,55.3422,-131.6461,broken clouds,64.8,69,68,4.65
95,Nabire,ID,2021-08-08 23:59:43,-3.3667,135.4833,overcast clouds,78.51,88,98,0.87
96,Kiama,AU,2021-08-08 23:55:56,-34.6833,150.8667,overcast clouds,57.0,80,99,10.6
97,Tiksi,RU,2021-08-08 23:57:49,71.6872,128.8694,broken clouds,51.08,71,62,4.29
98,Ola,RU,2021-08-08 23:58:36,59.5833,151.2833,scattered clouds,62.65,59,28,4.88
99,Bethel,US,2021-08-08 23:59:43,41.3712,-73.414,overcast clouds,76.08,81,93,3.8
100,Butaritari,KI,2021-08-08 23:55:13,3.0707,172.7902,scattered clouds,83.75,60,46,11.32
101,Bangsund,NO,2021-08-08 23:59:44,64.3968,11.3949,broken clouds,54.57,93,72,4.18
102,Upernavik,GL,2021-08-08 23:59:41,72.7868,-56.1549,overcast clouds,41.16,85,99,3.51
103,Bandarbeyla,SO,2021-08-08 23:52:59,9.4942,50.8122,broken clouds,76.55,82,65,26.55
104,Barrow,US,2021-08-08 23:58:21,71.2906,-156.7887,overcast clouds,39.22,86,90,10.36
105,Hobart,AU,2021-08-08 23:59:39,-42.8794,147.3294,scattered clouds,53.26,72,40,1.99
106,Santa Maria Da Boa Vista,BR,2021-08-08 23:59:45,-8.8078,-39.8256,clear sky,75.36,40,5,20.4
107,Thompson,CA,2021-08-08 23:57:20,55.7435,-97.8558,broken clouds,69.96,68,75,8.05
108,Port-Cartier,CA,2021-08-08 23:59:45,50.0334,-66.8654,clear sky,60.91,67,2,4.25
109,Ostrovnoy,RU,2021-08-08 23:50:09,68.0531,39.5131,clear sky,49.24,79,0,8.19
110,Beloha,MG,2021-08-08 23:59:45,-25.1667,45.05,clear sky,60.13,92,0,5.59
111,Saint George,US,2021-08-08 23:50:00,37.1041,-113.5841,clear sky,104.47,9,1,5.01
112,Norman Wells,CA,2021-08-08 23:49:50,65.282,-126.8329,broken clouds,57.24,58,75,11.5
