City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chuy,UY,2021-08-08 23:30:54,-33.6971,-53.4616,57.13,96,98,11.21
68,Bredasdorp,ZA,2021-08-08 23:30:54,-34.5322,20.0403,53.28,87,100,12.66
69,Beloha,MG,2021-08-08 23:30:54,-25.1667,45.05,60.13,92,0,5.59
70,Punta Arenas,CL,2021-08-08 23:30:55,-53.15,-70.9167,41.11,75,90,11.5
71,Tra Vinh,VN,2021-08-08 23:30:56,9.9347,106.3453,81.16,84,42,8.41
72,Mumford,GH,2021-08-08 23:30:56,5.2618,-0.759,74.68,92,72,10.29
73,Georgetown,MY,2021-08-08 23:30:16,5.4112,100.3354,80.89,88,20,4.61
74,Albania,AL,2021-08-08 23:30:56,41.0,20.0,70.99,37,1,5.26
75,Khatanga,RU,2021-08-08 23:30:57,71.9667,102.5,53.06,74,100,11.72
76,Wairoa,NZ,2021-08-08 23:29:31,-39.0333,177.3667,47.61,65,100,18.99
77,Port Alfred,ZA,2021-08-08 23:26:42,-33.5906,26.891,59.58,83,50,14.52
78,Najran,SA,2021-08-08 23:30:57,17.4924,44.1277,83.05,36,49,6.17
79,Barrow,US,2021-08-08 23:30:58,71.2906,-156.7887,39.22,86,90,11.5
80,Mahebourg,MU,2021-08-08 23:26:32,-20.4081,57.7,68.29,94,75,3.44
81,Ponta Do Sol,PT,2021-08-08 23:30:03,32.6667,-17.1,70.43,74,29,3.49
82,Leshukonskoye,RU,2021-08-08 23:30:58,64.8989,45.7622,52.88,75,100,3.96
83,Sobolevo,RU,2021-08-08 23:30:59,54.4299,31.8996,59.81,77,61,5.41
84,Acari,PE,2021-08-08 23:30:59,-15.4311,-74.6158,62.71,83,53,5.61
85,Busselton,AU,2021-08-08 23:31:00,-33.65,115.3333,53.1,62,100,20.85
86,Inongo,CD,2021-08-08 23:31:00,-1.95,18.2667,71.8,67,91,6.85
87,Portland,US,2021-08-08 23:26:54,45.5234,-122.6762,80.71,43,40,1.01
88,Srandakan,ID,2021-08-08 23:31:01,-7.9386,110.2506,76.91,86,9,4.21
89,Ratnagiri,IN,2021-08-08 23:31:01,16.9833,73.3,78.87,85,88,4.56
90,Kernersville,US,2021-08-08 23:27:38,36.1199,-80.0736,86.25,62,75,6.91
91,Geraldton,AU,2021-08-08 23:31:02,-28.7667,114.6,61.21,94,90,10.36
92,Broome,US,2021-08-08 23:31:02,42.2506,-75.833,82.6,61,20,3.44
93,Lexington,US,2021-08-08 23:26:41,37.9887,-84.4777,87.12,55,1,1.99
94,Dingle,PH,2021-08-08 23:31:03,10.9995,122.6711,77.41,90,100,0.6
95,Narsaq,GL,2021-08-08 23:31:04,60.9167,-46.05,48.42,78,10,5.39
96,East London,ZA,2021-08-08 23:31:04,-33.0153,27.9116,62.91,75,32,15.79
97,Nikolskoye,RU,2021-08-08 23:31:05,59.7035,30.7861,63.01,97,99,4.92
98,Torbay,CA,2021-08-08 23:30:05,47.6666,-52.7314,55.76,92,90,14.97
99,Dickinson,US,2021-08-08 23:31:05,29.4608,-95.0513,92.16,69,40,4.0
100,Xianyang,CN,2021-08-08 23:31:06,34.3378,108.7026,72.64,94,90,4.47
101,Muzhi,RU,2021-08-08 23:31:06,65.3667,64.6667,52.14,87,100,10.67
102,Sitka,US,2021-08-08 23:31:06,57.0531,-135.33,60.69,77,90,9.22
103,Saskylakh,RU,2021-08-08 23:30:05,71.9167,114.0833,60.62,60,100,6.31
104,Kenai,US,2021-08-08 23:31:07,60.5544,-151.2583,55.02,96,90,16.11
105,Obo,CF,2021-08-08 23:31:07,5.3998,26.4869,67.23,97,100,1.68
106,Sokoto,NG,2021-08-08 23:31:07,13.0609,5.239,77.25,77,35,9.28
107,Natal,BR,2021-08-08 23:31:08,-5.795,-35.2094,77.65,83,75,10.36
108,Constitucion,CL,2021-08-08 23:30:05,-35.3333,-72.4167,48.25,72,100,2.62
109,Rundu,NA,2021-08-08 23:31:08,-17.9333,19.7667,55.65,22,5,4.18
110,Svetlogorsk,BY,2021-08-08 23:31:09,52.6333,29.7333,65.32,68,53,5.19
111,Saint-Philippe,RE,2021-08-08 23:31:09,-21.3585,55.7679,67.21,88,41,8.81
112,Russell,US,2021-08-08 23:31:10,32.3502,-85.1999,90.97,55,1,0.0
113,Novyye Gorki,RU,2021-08-08 23:31:10,56.7253,41.0601,63.64,75,100,2.06
114,Zhangye,CN,2021-08-08 23:31:10,38.9342,100.4517,72.63,33,0,6.33
115,Naron,ES,2021-08-08 23:31:11,43.5167,-8.1528,64.02,88,97,3.49
116,Kavieng,PG,2021-08-08 23:31:12,-2.5744,150.7967,83.86,69,93,10.98
117,Vardo,NO,2021-08-08 23:31:12,70.3705,31.1107,55.0,78,6,6.98
118,Victoria,HK,2021-08-08 23:31:12,22.2855,114.1577,85.32,89,100,1.01
119,Tasiilaq,GL,2021-08-08 23:31:12,65.6145,-37.6368,46.56,94,100,21.12
120,Codrington,AU,2021-08-08 23:31:13,-38.2667,141.9667,52.68,72,98,13.65
121,Port Elizabeth,ZA,2021-08-08 23:31:14,-33.918,25.5701,57.49,82,0,8.05
122,Berlevag,NO,2021-08-08 23:31:14,70.8578,29.0864,57.0,70,8,9.44
123,Alekseyevsk,RU,2021-08-08 23:31:14,57.8406,108.3492,60.78,64,79,2.26
124,Isangel,VU,2021-08-08 23:31:15,-19.55,169.2667,75.31,64,75,11.5
125,Nantucket,US,2021-08-08 23:29:03,41.2835,-70.0995,77.14,79,1,3.44
126,Wuwei,CN,2021-08-08 23:31:16,37.9281,102.6414,73.8,34,69,3.29
127,Lebu,CL,2021-08-08 23:31:16,-37.6167,-73.65,44.29,83,5,4.7
128,Fortuna,US,2021-08-08 23:31:16,40.5982,-124.1573,88.2,67,20,1.99
129,Sedalia,US,2021-08-08 23:27:23,38.7045,-93.2283,85.91,66,1,11.5
130,Nanortalik,GL,2021-08-08 23:31:17,60.1432,-45.2371,42.93,92,36,12.5
131,Dhidhdhoo,MV,2021-08-08 23:31:17,6.8833,73.1,82.17,73,98,15.68
132,Ahipara,NZ,2021-08-08 23:31:17,-35.1667,173.1667,50.99,67,96,21.81
133,Laguna,US,2021-08-08 23:31:18,38.421,-121.4238,102.31,34,1,5.01
134,Dwarka,IN,2021-08-08 23:26:23,22.2394,68.9678,80.83,75,86,12.55
135,Tomatlan,MX,2021-08-08 23:31:18,19.9333,-105.25,80.47,90,63,3.31
136,Albany,US,2021-08-08 23:28:45,42.6001,-73.9662,81.84,66,22,5.88
137,Qaanaaq,GL,2021-08-08 23:31:19,77.484,-69.3632,39.51,72,18,4.21
138,Atar,MR,2021-08-08 23:31:19,20.5169,-13.0499,93.45,26,9,3.06
139,Port Macquarie,AU,2021-08-08 23:31:20,-31.4333,152.9167,53.56,62,100,5.37
140,Gaoual,GN,2021-08-08 23:31:20,11.75,-13.2,73.02,98,98,2.51
141,Dikson,RU,2021-08-08 23:31:20,73.5069,80.5464,41.59,98,2,7.85
142,Paraopeba,BR,2021-08-08 23:31:20,-19.2757,-44.4033,65.75,59,79,10.29
143,Cidreira,BR,2021-08-08 23:31:21,-30.1811,-50.2056,60.22,91,1,10.69
144,Lasa,IT,2021-08-08 23:31:22,46.6166,10.7002,59.88,90,29,1.77
145,Sioux Lookout,CA,2021-08-08 23:31:22,50.1001,-91.917,75.58,64,20,10.36
146,Marzuq,YE,2021-08-08 23:31:22,14.4,46.4667,85.46,28,80,4.0
147,Buala,SB,2021-08-08 23:31:23,-8.145,159.5921,83.44,69,33,3.8
148,Port Augusta,AU,2021-08-08 23:31:24,-32.5,137.7667,55.54,49,0,13.53
149,Itoman,JP,2021-08-08 23:31:24,26.1247,127.6694,80.98,94,75,10.36
150,Elgin,US,2021-08-08 23:31:24,42.0373,-88.2812,86.47,70,75,1.99
151,Nhulunbuy,AU,2021-08-08 23:31:25,-12.2333,136.7667,77.61,73,90,12.66
152,Zhigansk,RU,2021-08-08 23:31:26,66.7697,123.3711,67.91,32,73,16.04
153,Dunedin,NZ,2021-08-08 23:31:26,-45.8742,170.5036,41.81,70,82,4.0
154,Rabaul,PG,2021-08-08 23:31:27,-4.1967,152.1721,82.27,69,58,4.12
155,Sibolga,ID,2021-08-08 23:31:27,1.7427,98.7792,76.33,88,81,4.0
156,Muros,ES,2021-08-08 23:31:28,42.7762,-9.0603,63.23,85,99,4.61
157,Obodivka,UA,2021-08-08 23:31:28,48.4051,29.2477,63.03,65,0,3.6
158,Arraial Do Cabo,BR,2021-08-08 23:31:28,-22.9661,-42.0278,69.08,83,8,24.58
159,Bignona,SN,2021-08-08 23:31:28,12.8103,-16.2264,77.04,89,100,6.87
160,Haines Junction,CA,2021-08-08 23:31:29,60.7522,-137.5108,62.55,48,100,5.75
161,Creston,US,2021-08-08 23:31:30,41.0586,-94.3614,81.25,100,40,10.36
162,Puerto Del Rosario,ES,2021-08-08 23:31:30,28.5004,-13.8627,71.35,73,1,17.27
163,Hami,CN,2021-08-08 23:31:30,42.8,93.45,80.08,29,100,4.12
164,Mbulu,TZ,2021-08-08 23:31:31,-3.85,35.5333,52.52,84,32,5.75
165,Myitkyina,MM,2021-08-08 23:31:32,25.3833,97.4,75.27,99,100,0.92
166,Puerto Ayacucho,VE,2021-08-08 23:31:32,5.6639,-67.6236,76.57,83,81,3.53
167,Vao,NC,2021-08-08 23:31:33,-22.6667,167.4833,66.65,70,37,20.29
168,Sorland,NO,2021-08-08 23:31:33,67.667,12.6934,56.89,86,70,9.62
169,Otane,NZ,2021-08-08 23:31:33,-39.8833,176.6333,47.01,75,100,16.73
170,Cherskiy,RU,2021-08-08 23:29:58,68.75,161.3,60.19,33,36,1.39
171,Escanaba,US,2021-08-08 23:31:34,45.7453,-87.0646,77.67,95,90,8.05
172,Orneta,PL,2021-08-08 23:31:34,54.1148,20.1333,58.62,84,53,6.02
173,Deputatskiy,RU,2021-08-08 23:31:34,69.3,139.9,68.32,44,48,2.26
174,Kamenka,RU,2021-08-08 23:31:35,51.3223,42.7678,77.49,28,100,9.55
175,Pangnirtung,CA,2021-08-08 23:31:35,66.1451,-65.7125,43.66,78,100,4.54
176,Ketchikan,US,2021-08-08 23:30:46,55.3422,-131.6461,64.87,72,90,5.75
177,Coquimbo,CL,2021-08-08 23:31:36,-29.9533,-71.3436,55.13,82,20,6.91
178,Amudat,UG,2021-08-08 23:27:14,1.95,34.95,67.03,78,55,4.5
179,Saint-Francois,FR,2021-08-08 23:31:25,46.4154,3.9054,58.17,94,0,4.61
180,Luderitz,NA,2021-08-08 23:31:36,-26.6481,15.1594,54.27,86,70,7.27
181,Salinas,US,2021-08-08 23:31:37,36.6777,-121.6555,89.42,66,1,14.97
182,Brae,GB,2021-08-08 23:31:37,60.3964,-1.353,57.11,91,100,7.43
183,Mar Del Plata,AR,2021-08-08 23:30:00,-38.0023,-57.5575,48.22,76,0,9.22
184,Ko Samui,TH,2021-08-08 23:31:38,9.5357,99.9357,82.24,78,99,12.97
185,Rudnogorsk,RU,2021-08-08 23:31:38,57.2639,103.7519,59.54,53,19,2.46
186,Silver City,US,2021-08-08 23:31:38,32.7701,-108.2803,88.3,31,1,1.99
187,Tuktoyaktuk,CA,2021-08-08 23:31:39,69.4541,-133.0374,50.0,71,75,6.91
188,Iqaluit,CA,2021-08-08 23:31:40,63.7506,-68.5145,42.53,93,90,9.22
189,Katsuura,JP,2021-08-08 23:31:40,35.1333,140.3,86.11,88,88,26.44
190,Kikwit,CD,2021-08-08 23:31:41,-5.041,18.8162,76.28,41,4,0.58
191,Vila Do Maio,CV,2021-08-08 23:31:41,15.1333,-23.2167,79.59,86,30,1.25
192,Tiarei,PF,2021-08-08 23:31:41,-17.5333,-149.3333,86.02,75,15,11.1
193,Carnarvon,AU,2021-08-08 23:31:42,-24.8667,113.6333,64.47,76,90,6.91
194,Vagur,FO,2021-08-08 23:31:42,61.4732,-6.8119,51.84,93,25,5.88
195,Bereda,ES,2021-08-08 23:31:42,43.2686,-7.5406,56.95,100,76,1.66
196,Touros,BR,2021-08-08 23:31:43,-5.1989,-35.4608,77.9,83,35,14.7
197,Tucuman,AR,2021-08-08 23:31:43,-26.8241,-65.2226,64.4,45,14,6.91
198,Palmer,US,2021-08-08 23:31:43,42.1584,-72.3287,79.38,76,75,3.44
199,Nishihara,JP,2021-08-08 23:31:44,26.1842,127.7558,80.26,94,75,10.36
200,Avarua,CK,2021-08-08 23:29:46,-21.2078,-159.775,77.05,69,75,10.36
201,Jacareacanga,BR,2021-08-08 23:31:44,-6.2222,-57.7528,82.4,38,37,0.38
202,Oranjemund,NA,2021-08-08 23:31:44,-28.55,16.4333,57.56,69,93,6.78
203,Karasjok,NO,2021-08-08 23:31:45,69.4719,25.5112,57.31,64,100,15.41
204,Batagay,RU,2021-08-08 23:31:45,67.6333,134.6333,77.77,30,15,2.48
205,Fresnillo,MX,2021-08-08 23:31:45,23.1667,-102.8833,74.84,45,28,7.58
206,Hamilton,US,2021-08-08 23:31:46,39.1834,-84.5333,87.89,61,1,1.01
207,Ust-Charyshskaya Pristan,RU,2021-08-08 23:31:46,52.3934,83.6635,61.83,86,81,0.83
208,Saint George,US,2021-08-08 23:30:19,37.1041,-113.5841,104.47,10,1,5.01
209,Husavik,IS,2021-08-08 23:29:39,66.0449,-17.3389,49.91,86,38,2.35
210,Darnah,LY,2021-08-08 23:31:46,32.767,22.6367,78.87,75,0,17.36
211,Los Llanos De Aridane,ES,2021-08-08 23:30:58,28.6585,-17.9182,67.75,95,90,9.22
212,Castro,BR,2021-08-08 23:29:50,-24.7911,-50.0119,61.74,58,99,4.0
213,Anadyr,RU,2021-08-08 23:31:47,64.75,177.4833,55.9,62,40,13.42
214,Pyay,MM,2021-08-08 23:31:48,18.8167,95.2167,76.6,92,100,3.87
215,Sao Raimundo Das Mangabeiras,BR,2021-08-08 23:31:48,-7.0219,-45.4811,77.9,36,2,3.69
216,Ouesso,CG,2021-08-08 23:31:49,1.6136,16.0517,69.58,94,22,3.18
217,Noumea,NC,2021-08-08 23:31:49,-22.2763,166.4572,73.38,53,71,12.06
218,Port Alberni,CA,2021-08-08 23:30:16,49.2413,-124.8028,77.94,52,23,10.0
