City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
233,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
235,Benghazi,LY,81.0,clear sky,32.1167,20.0667,Tibesti Hotel
238,Lehigh Acres,US,84.94,overcast clouds,26.6254,-81.6248,Lehigh Resort Club
240,Salalah,OM,76.12,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
241,Bacabal,BR,80.83,clear sky,-4.2917,-44.7917,Rancho Sol Nascente
244,Gohad,IN,81.43,light rain,26.4261,78.4447,Shree Dauji Nasta Center
250,Pinawa,CA,89.29,scattered clouds,50.1489,-95.8811,Pinawa Motel
257,Sakakah,SA,86.02,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
259,Vanderhoof,CA,79.05,clear sky,54.0166,-124.0198,Vanderhoof Inn
261,Hithadhoo,MV,79.95,light rain,-0.6,73.0833,Scoop Guest House
264,Carbondale,US,84.49,very heavy rain,37.7273,-89.2168,Best Western Saluki Inn
267,Labuhan,ID,78.67,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
268,Teknaf,BD,79.48,overcast clouds,20.8624,92.3058,Forestry Guesthouse
269,Portland,US,80.71,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
270,La Primavera,CO,77.77,scattered clouds,5.4906,-70.4092,La Riviera Hotel Colonial
276,Jacqueville,CI,76.91,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
278,Tabriz,IR,78.26,clear sky,38.08,46.2919,Sina Hotel
280,Tecoanapa,MX,81.99,moderate rain,16.5167,-98.75,Hotel Manglares
283,Mitsamiouli,KM,76.14,clear sky,-11.3847,43.2844,Foyer ADM
286,Neyshabur,IR,77.25,clear sky,36.2133,58.7958,Amiran Hotel
288,Tahoua,NE,84.81,scattered clouds,14.8888,5.2692,Bungalows Guesthouse
290,Madison,US,85.68,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
292,Mahibadhoo,MV,82.92,overcast clouds,3.7833,72.9667,Omadhoo Inn
293,Matara,LK,76.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
302,Alyangula,AU,75.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
303,Hailey,US,78.66,clear sky,43.5196,-114.3153,Wood River Inn & Suites
305,Salinopolis,BR,79.54,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
307,Buala,SB,83.44,light rain,-8.145,159.5921,Maringe Lagoon Lodge
